trainee,id,cat,subcat,grade
16,01,학력,학위 수준 및 전공의 적합성,C
16,01,학력,출신 학교 수준,C
16,01,학력,학점,D
16,01,경력,총 경력 연수,D
16,01,경력,직무 연관성,B
16,01,경력,성과 및 기여도,C
16,01,교육이력,전문교육 수료 여부,E
16,01,교육이력,기업 내 교육 참여,E
16,01,교육이력,자기개발 노력,E
16,01,자격증,자격증 수준,B
16,01,자격증,자격증 최신성,A
16,01,기타,기타 활동 및 수상내역,C
16,02,학력,학위 수준 및 전공의 적합성,C
16,02,학력,출신 학교 수준,B 
16,02,학력,학점,C
16,02,경력,총 경력 연수,E
16,02,경력,직무 연관성,B
16,02,경력,성과 및 기여도,C
16,02,교육이력,전문교육 수료 여부,E
16,02,교육이력,기업 내 교육 참여,E
16,02,교육이력,자기개발 노력,E
16,02,자격증,자격증 수준,B
16,02,자격증,자격증 최신성,A
16,02,기타,기타 활동 및 수상내역,B
16,03,학력,학위 수준 및 전공의 적합성,C
16,03,학력,출신 학교 수준,B
16,03,학력,학점,B
16,03,경력,총 경력 연수,E
16,03,경력,직무 연관성,A
16,03,경력,성과 및 기여도,C
16,03,교육이력,전문교육 수료 여부,E
16,03,교육이력,기업 내 교육 참여,E
16,03,교육이력,자기개발 노력,E
16,03,자격증,자격증 수준,A
16,03,자격증,자격증 최신성,A
16,03,기타,기타 활동 및 수상내역,B
16,04,학력,학위 수준 및 전공의 적합성,C
16,04,학력,출신 학교 수준,B
16,04,학력,학점,B
16,04,경력,총 경력 연수,B
16,04,경력,직무 연관성,A
16,04,경력,성과 및 기여도,B
16,04,교육이력,전문교육 수료 여부,E
16,04,교육이력,기업 내 교육 참여,E
16,04,교육이력,자기개발 노력,E
16,04,자격증,자격증 수준,A
16,04,자격증,자격증 최신성,D
16,04,기타,기타 활동 및 수상내역,A
16,05,학력,학위 수준 및 전공의 적합성,C
16,05,학력,출신 학교 수준,B
16,05,학력,학점,C
16,05,경력,총 경력 연수,E
16,05,경력,직무 연관성,A
16,05,경력,성과 및 기여도,C
16,05,교육이력,전문교육 수료 여부,E
16,05,교육이력,기업 내 교육 참여,E
16,05,교육이력,자기개발 노력,E
16,05,자격증,자격증 수준,B
16,05,자격증,자격증 최신성,A
16,05,기타,기타 활동 및 수상내역,B
16,06,학력,학위 수준 및 전공의 적합성,C
16,06,학력,출신 학교 수준,B
16,06,학력,학점,C
16,06,경력,총 경력 연수,D
16,06,경력,직무 연관성,A
16,06,경력,성과 및 기여도,B
16,06,교육이력,전문교육 수료 여부,E
16,06,교육이력,기업 내 교육 참여,E
16,06,교육이력,자기개발 노력,E
16,06,자격증,자격증 수준,A
16,06,자격증,자격증 최신성,B
16,06,기타,기타 활동 및 수상내역,B
16,07,학력,학위 수준 및 전공의 적합성,C
16,07,학력,출신 학교 수준,B
16,07,학력,학점,B
16,07,경력,총 경력 연수,C
16,07,경력,직무 연관성,B
16,07,경력,성과 및 기여도,B
16,07,교육이력,전문교육 수료 여부,E
16,07,교육이력,기업 내 교육 참여,E
16,07,교육이력,자기개발 노력,E
16,07,자격증,자격증 수준,A
16,07,자격증,자격증 최신성,A
16,07,기타,기타 활동 및 수상내역,B
16,08,학력,학위 수준 및 전공의 적합성,C
16,08,학력,출신 학교 수준,B
16,08,학력,학점,C
16,08,경력,총 경력 연수,C
16,08,경력,직무 연관성,B
16,08,경력,성과 및 기여도,B
16,08,교육이력,전문교육 수료 여부,E
16,08,교육이력,기업 내 교육 참여,E
16,08,교육이력,자기개발 노력,E
16,08,자격증,자격증 수준,A
16,08,자격증,자격증 최신성,D
16,08,기타,기타 활동 및 수상내역,B
16,09,학력,학위 수준 및 전공의 적합성,A
16,09,학력,출신 학교 수준,A
16,09,학력,학점,A
16,09,경력,총 경력 연수,E
16,09,경력,직무 연관성,A
16,09,경력,성과 및 기여도,B
16,09,교육이력,전문교육 수료 여부,E
16,09,교육이력,기업 내 교육 참여,E
16,09,교육이력,자기개발 노력,E
16,09,자격증,자격증 수준,A
16,09,자격증,자격증 최신성,A
16,09,기타,기타 활동 및 수상내역,A
16,10,학력,학위 수준 및 전공의 적합성,C
16,10,학력,출신 학교 수준,C
16,10,학력,학점,D
16,10,경력,총 경력 연수,E
16,10,경력,직무 연관성,B
16,10,경력,성과 및 기여도,C
16,10,교육이력,전문교육 수료 여부,E
16,10,교육이력,기업 내 교육 참여,E
16,10,교육이력,자기개발 노력,E
16,10,자격증,자격증 수준,B
16,10,자격증,자격증 최신성,A
16,10,기타,기타 활동 및 수상내역,B
