trainee,id,cat,subcat,grade
17,01,학력,학위 수준 및 전공의 적합성,C
17,01,학력,출신 학교 수준,B
17,01,학력,학점,C
17,01,경력,총 경력 연수,D
17,01,경력,직무 연관성,E
17,01,경력,성과 및 기여도,E
17,01,교육이력,전문교육 수료 여부,D
17,01,교육이력,기업 내 교육 참여,E
17,01,교육이력,자기개발 노력,E
17,01,자격증,직무 관련 자격증,E
17,01,자격증,자격증 수준,C
17,01,자격증,자격증 최신성,B
17,02,학력,학위 수준 및 전공의 적합성,C
17,02,학력,출신 학교 수준,C
17,02,학력,학점,B
17,02,경력,총 경력 연수,C
17,02,경력,직무 연관성,A
17,02,경력,성과 및 기여도,C
17,02,교육이력,전문교육 수료 여부,D
17,02,교육이력,기업 내 교육 참여,E
17,02,교육이력,자기개발 노력,E
17,02,자격증,직무 관련 자격증,A
17,02,자격증,자격증 수준,A
17,02,자격증,자격증 최신성,B
17,03,학력,학위 수준 및 전공의 적합성,C
17,03,학력,출신 학교 수준,B
17,03,학력,학점,C
17,03,경력,총 경력 연수,E
17,03,경력,직무 연관성,E
17,03,경력,성과 및 기여도,E
17,03,교육이력,전문교육 수료 여부,D
17,03,교육이력,기업 내 교육 참여,E
17,03,교육이력,자기개발 노력,E
17,03,자격증,직무 관련 자격증,D
17,03,자격증,자격증 수준,B
17,03,자격증,자격증 최신성,B
17,04,학력,학위 수준 및 전공의 적합성,C
17,04,학력,출신 학교 수준,C
17,04,학력,학점,A
17,04,경력,총 경력 연수,C
17,04,경력,직무 연관성,D
17,04,경력,성과 및 기여도,A
17,04,교육이력,전문교육 수료 여부,C
17,04,교육이력,기업 내 교육 참여,E
17,04,교육이력,자기개발 노력,E
17,04,자격증,직무 관련 자격증,C
17,04,자격증,자격증 수준,B
17,04,자격증,자격증 최신성,B
17,05,학력,학위 수준 및 전공의 적합성,C
17,05,학력,출신 학교 수준,B
17,05,학력,학점,C
17,05,경력,총 경력 연수,E
17,05,경력,직무 연관성,B
17,05,경력,성과 및 기여도,D
17,05,교육이력,전문교육 수료 여부,B
17,05,교육이력,기업 내 교육 참여,E
17,05,교육이력,자기개발 노력,B
17,05,자격증,직무 관련 자격증,B
17,05,자격증,자격증 수준,A
17,05,자격증,자격증 최신성,B
17,06,학력,학위 수준 및 전공의 적합성,C
17,06,학력,출신 학교 수준,B
17,06,학력,학점,A
17,06,경력,총 경력 연수,D
17,06,경력,직무 연관성,C
17,06,경력,성과 및 기여도,E
17,06,교육이력,전문교육 수료 여부,B
17,06,교육이력,기업 내 교육 참여,E
17,06,교육이력,자기개발 노력,C
17,06,자격증,직무 관련 자격증,C
17,06,자격증,자격증 수준,C
17,06,자격증,자격증 최신성,B
17,07,학력,학위 수준 및 전공의 적합성,C
17,07,학력,출신 학교 수준,C
17,07,학력,학점,D
17,07,경력,총 경력 연수,C
17,07,경력,직무 연관성,E
17,07,경력,성과 및 기여도,E
17,07,교육이력,전문교육 수료 여부,D
17,07,교육이력,기업 내 교육 참여,E
17,07,교육이력,자기개발 노력,E
17,07,자격증,직무 관련 자격증,D
17,07,자격증,자격증 수준,B
17,07,자격증,자격증 최신성,B
17,08,학력,학위 수준 및 전공의 적합성,C
17,08,학력,출신 학교 수준,C
17,08,학력,학점,A
17,08,경력,총 경력 연수,C
17,08,경력,직무 연관성,E
17,08,경력,성과 및 기여도,E
17,08,교육이력,전문교육 수료 여부,D
17,08,교육이력,기업 내 교육 참여,E
17,08,교육이력,자기개발 노력,C
17,08,자격증,직무 관련 자격증,D
17,08,자격증,자격증 수준,D
17,08,자격증,자격증 최신성,B
17,09,학력,학위 수준 및 전공의 적합성,C
17,09,학력,출신 학교 수준,C
17,09,학력,학점,B
17,09,경력,총 경력 연수,C
17,09,경력,직무 연관성,E
17,09,경력,성과 및 기여도,E
17,09,교육이력,전문교육 수료 여부,E
17,09,교육이력,기업 내 교육 참여,E
17,09,교육이력,자기개발 노력,E
17,09,자격증,직무 관련 자격증,C
17,09,자격증,자격증 수준,C
17,09,자격증,자격증 최신성,C
17,10,학력,학위 수준 및 전공의 적합성,C
17,10,학력,출신 학교 수준,A
17,10,학력,학점,A
17,10,경력,총 경력 연수,C
17,10,경력,직무 연관성,A
17,10,경력,성과 및 기여도,C
17,10,교육이력,전문교육 수료 여부,D
17,10,교육이력,기업 내 교육 참여,E
17,10,교육이력,자기개발 노력,E
17,10,자격증,직무 관련 자격증,A
17,10,자격증,자격증 수준,B
17,10,자격증,자격증 최신성,A
