"trainee,id,cat,subcat,grade"
"16,01,성장과정,가치관,B"
"16,01,성장과정,가족/환경의 영향,B"
"16,01,성장과정,전환점/특별한 경험,B"
"16,01,성격의 장단점,장점 기술,B"
"16,01,성격의 장단점,단점 기술 및 극복 노력,D"
"16,01,성격의 장단점,대인관계 성향,B"
"16,01,학창시절,학업 태도,D"
"16,01,학창시절,활동 참여,C"
"16,01,학창시절,성취 및 도전 경험,B"
"16,01,지원동기,회사/직무 이해도,B"
"16,01,지원동기,지원 이유의 명확성,B"
"16,01,지원동기,직무 적합성 강조,A"
"16,01,입사후포부,단기 목표,A"
"16,01,입사후포부,장기 비전,A"
"16,01,입사후포부,기여 방안,B"
"16,01,직무경험,실무 경험,A"
"16,01,직무경험,직무 관련 능력,A"
"16,01,직무경험,문제 해결력,A"
"16,02,성장과정,가치관,B"
"16,02,성장과정,가족/환경의 영향,B"
"16,02,성장과정,전환점/특별한 경험,C"
"16,02,성격의 장단점,장점 기술,C"
"16,02,성격의 장단점,단점 기술 및 극복 노력,D"
"16,02,성격의 장단점,대인관계 성향,B"
"16,02,학창시절,학업 태도,B"
"16,02,학창시절,활동 참여,C"
"16,02,학창시절,성취 및 도전 경험,C"
"16,02,지원동기,회사/직무 이해도,B"
"16,02,지원동기,지원 이유의 명확성,A"
"16,02,지원동기,직무 적합성 강조,A"
"16,02,입사후포부,단기 목표,B"
"16,02,입사후포부,장기 비전,A"
"16,02,입사후포부,기여 방안,B"
"16,02,직무경험,실무 경험,B"
"16,02,직무경험,직무 관련 능력,B"
"16,02,직무경험,문제 해결력,C"
"16,03,성장과정,가치관,A"
"16,03,성장과정,가족/환경의 영향,B"
"16,03,성장과정,전환점/특별한 경험,B"
"16,03,성격의 장단점,장점 기술,B"
"16,03,성격의 장단점,단점 기술 및 극복 노력,D"
"16,03,성격의 장단점,대인관계 성향,B"
"16,03,학창시절,학업 태도,B"
"16,03,학창시절,활동 참여,C"
"16,03,학창시절,성취 및 도전 경험,C"
"16,03,지원동기,회사/직무 이해도,A"
"16,03,지원동기,지원 이유의 명확성,A"
"16,03,지원동기,직무 적합성 강조,A"
"16,03,입사후포부,단기 목표,B"
"16,03,입사후포부,장기 비전,A"
"16,03,입사후포부,기여 방안,B"
"16,03,직무경험,실무 경험,B"
"16,03,직무경험,직무 관련 능력,B"
"16,03,직무경험,문제 해결력,C"
"16,04,성장과정,가치관,B"
"16,04,성장과정,가족/환경의 영향,B"
"16,04,성장과정,전환점/특별한 경험,C"
"16,04,성격의 장단점,장점 기술,C"
