trainee,id,cat,subcat,grade
8,1,학력,학위 수준 및 전공의 적합성,C
8,1,학력,출신 학교 수준,A
8,1,학력,학점,A
8,1,경력,총 경력 연수,B
8,1,경력,직무 연관성,E
8,1,경력,성과 및 기여도,E
8,1,교육이력,전문교육 수료 여부,E
8,1,교육이력,기업 내 교육 참여,E
8,1,교육이력,자기개발 노력,E
8,1,자격증,직무 관련 자격증,E
8,1,자격증,자격증 수준,E
8,1,자격증,자격증 최신성,E
8,2,학력,학위 수준 및 전공의 적합성,B
8,2,학력,출신 학교 수준,A
8,2,학력,학점,A
8,2,경력,총 경력 연수,B
8,2,경력,직무 연관성,E
8,2,경력,성과 및 기여도,E
8,2,교육이력,전문교육 수료 여부,E
8,2,교육이력,기업 내 교육 참여,E
8,2,교육이력,자기개발 노력,E
8,2,자격증,직무 관련 자격증,C
8,2,자격증,자격증 수준,E
8,2,자격증,자격증 최신성,A
8,3,학력,학위 수준 및 전공의 적합성,B
8,3,학력,출신 학교 수준,A
8,3,학력,학점,C
8,3,경력,총 경력 연수,A
8,3,경력,직무 연관성,E
8,3,경력,성과 및 기여도,E
8,3,교육이력,전문교육 수료 여부,E
8,3,교육이력,기업 내 교육 참여,E
8,3,교육이력,자기개발 노력,E
8,3,자격증,직무 관련 자격증,E
8,3,자격증,자격증 수준,E
8,3,자격증,자격증 최신성,E
8,4,학력,학위 수준 및 전공의 적합성,E
8,4,학력,출신 학교 수준,B
8,4,학력,학점,B
8,4,경력,총 경력 연수,B
8,4,경력,직무 연관성,E
8,4,경력,성과 및 기여도,E
8,4,교육이력,전문교육 수료 여부,E
8,4,교육이력,기업 내 교육 참여,E
8,4,교육이력,자기개발 노력,E
8,4,자격증,직무 관련 자격증,C
8,4,자격증,자격증 수준,E
8,4,자격증,자격증 최신성,A
8,5,학력,학위 수준 및 전공의 적합성,B
8,5,학력,출신 학교 수준,B
8,5,학력,학점,B
8,5,경력,총 경력 연수,B
8,5,경력,직무 연관성,E
8,5,경력,성과 및 기여도,E
8,5,교육이력,전문교육 수료 여부,E
8,5,교육이력,기업 내 교육 참여,E
8,5,교육이력,자기개발 노력,E
8,5,자격증,직무 관련 자격증,C
8,5,자격증,자격증 수준,E
8,5,자격증,자격증 최신성,A
8,6,학력,학위 수준 및 전공의 적합성,B
8,6,학력,출신 학교 수준,B
8,6,학력,학점,B
8,6,경력,총 경력 연수,B
8,6,경력,직무 연관성,E
8,6,경력,성과 및 기여도,E
8,6,교육이력,전문교육 수료 여부,E
8,6,교육이력,기업 내 교육 참여,E
8,6,교육이력,자기개발 노력,E
8,6,자격증,직무 관련 자격증,C
8,6,자격증,자격증 수준,E
8,6,자격증,자격증 최신성,A
8,7,학력,학위 수준 및 전공의 적합성,E
8,7,학력,출신 학교 수준,B
8,7,학력,학점,A
8,7,경력,총 경력 연수,A
8,7,경력,직무 연관성,E
8,7,경력,성과 및 기여도,E
8,7,교육이력,전문교육 수료 여부,E
8,7,교육이력,기업 내 교육 참여,E
8,7,교육이력,자기개발 노력,E
8,7,자격증,직무 관련 자격증,C
8,7,자격증,자격증 수준,E
8,7,자격증,자격증 최신성,A
8,8,학력,학위 수준 및 전공의 적합성,D
8,8,학력,출신 학교 수준,C
8,8,학력,학점,E
8,8,경력,총 경력 연수,A
8,8,경력,직무 연관성,E
8,8,경력,성과 및 기여도,E
8,8,교육이력,전문교육 수료 여부,E
8,8,교육이력,기업 내 교육 참여,E
8,8,교육이력,자기개발 노력,E
8,8,자격증,직무 관련 자격증,E
8,8,자격증,자격증 수준,E
8,8,자격증,자격증 최신성,E
8,9,학력,학위 수준 및 전공의 적합성,C
8,9,학력,출신 학교 수준,B
8,9,학력,학점,A
8,9,경력,총 경력 연수,B
8,9,경력,직무 연관성,E
8,9,경력,성과 및 기여도,E
