trainee,id,cat,subcat,grade
13,01,학력,학위 수준 및 전공의 적합성,C
13,01,학력,출신 학교 수준,C
13,01,학력,학점,A
13,01,경력,총 경력 연수,D
13,01,경력,직무 연관성,E
13,01,경력,성과 및 기여도,E
13,01,교육이력,전문교육 수료 여부,E
13,01,교육이력,기업 내 교육 참여,E
13,01,교육이력,자기 개발 노력,B
13,01,자격증,자격증 명,C
13,01,자격증,자격증 수준,B
13,01,자격증,자격증 최신성,A
13,02,학력,학위 수준 및 전공의 적합성,D
13,02,학력,출신 학교 수준,C
13,02,학력,학점,C
13,02,경력,총 경력 연수,D
13,02,경력,직무 연관성,C
13,02,경력,성과 및 기여도,D
13,02,교육이력,전문교육 수료 여부,A
13,02,교육이력,기업 내 교육 참여,E
13,02,교육이력,자기 개발 노력,B
13,02,자격증,자격증 명,C
13,02,자격증,자격증 수준,B
13,02,자격증,자격증 최신성,A
13,03,학력,학위 수준 및 전공의 적합성,C
13,03,학력,출신 학교 수준,C
13,03,학력,학점,B+
13,03,경력,총 경력 연수,A
13,03,경력,직무 연관성,A
13,03,경력,성과 및 기여도,A
13,03,교육이력,전문교육 수료 여부,E
13,03,교육이력,기업 내 교육 참여,E
13,03,교육이력,자기 개발 노력,E
13,03,자격증,자격증 명,E
13,03,자격증,자격증 수준,E
13,03,자격증,자격증 최신성,E
13,04,학력,학위 수준 및 전공의 적합성,B
13,04,학력,출신 학교 수준,C
13,04,학력,학점,B+
13,04,경력,총 경력 연수,D
13,04,경력,직무 연관성,E
13,04,경력,성과 및 기여도,E
13,04,교육이력,전문교육 수료 여부,E
13,04,교육이력,기업 내 교육 참여,E
13,04,교육이력,자기 개발 노력,E
13,04,자격증,자격증 명,E
13,04,자격증,자격증 수준,E
13,04,자격증,자격증 최신성,E
13,05,학력,학위 수준 및 전공의 적합성,C
13,05,학력,출신 학교 수준,C
13,05,학력,학점,A
13,05,경력,총 경력 연수,D
13,05,경력,직무 연관성,E
13,05,경력,성과 및 기여도,E
13,05,교육이력,전문교육 수료 여부,E
13,05,교육이력,기업 내 교육 참여,E
13,05,교육이력,자기 개발 노력,E
13,05,자격증,자격증 명,C
13,05,자격증,자격증 수준,B
13,05,자격증,자격증 최신성,A
13,06,학력,학위 수준 및 전공의 적합성,C
13,06,학력,출신 학교 수준,C
13,06,학력,학점,B+
13,06,경력,총 경력 연수,C
13,06,경력,직무 연관성,C
13,06,경력,성과 및 기여도,D
13,06,교육이력,전문교육 수료 여부,nan
13,06,교육이력,기업 내 교육 참여,E
13,06,교육이력,자기 개발 노력,E
13,06,자격증,자격증 명,E
13,06,자격증,자격증 수준,E
13,06,자격증,자격증 최신성,E
13,07,학력,학위 수준 및 전공의 적합성,B
13,07,학력,출신 학교 수준,C
13,07,학력,학점,A
13,07,경력,총 경력 연수,C
13,07,경력,직무 연관성,C
13,07,경력,성과 및 기여도,E
13,07,교육이력,전문교육 수료 여부,E
13,07,교육이력,기업 내 교육 참여,E
13,07,교육이력,자기 개발 노력,D
13,07,자격증,자격증 명,C
13,07,자격증,자격증 수준,B
13,07,자격증,자격증 최신성,A
13,08,학력,학위 수준 및 전공의 적합성,C
13,08,학력,출신 학교 수준,C
13,08,학력,학점,B
13,08,경력,총 경력 연수,D
13,08,경력,직무 연관성,E
13,08,경력,성과 및 기여도,E
13,08,교육이력,전문교육 수료 여부,E
13,08,교육이력,기업 내 교육 참여,E
13,08,교육이력,자기 개발 노력,E
13,08,자격증,자격증 명,E
13,08,자격증,자격증 수준,E
13,08,자격증,자격증 최신성,E
13,09,학력,학위 수준 및 전공의 적합성,B
13,09,학력,출신 학교 수준,C
13,09,학력,학점,B+
13,09,경력,총 경력 연수,D
13,09,경력,직무 연관성,E
13,09,경력,성과 및 기여도,E
13,09,교육이력,전문교육 수료 여부,E
13,09,교육이력,기업 내 교육 참여,E
13,09,교육이력,자기 개발 노력,E
13,09,자격증,자격증 명,E
13,09,자격증,자격증 수준,E
13,09,자격증,자격증 최신성,E
13,10,학력,학위 수준 및 전공의 적합성,C
13,10,학력,출신 학교 수준,C
13,10,학력,학점,B+
13,10,경력,총 경력 연수,D
13,10,경력,직무 연관성,E
13,10,경력,성과 및 기여도,E
13,10,교육이력,전문교육 수료 여부,E
13,10,교육이력,기업 내 교육 참여,E
13,10,교육이력,자기 개발 노력,E
13,10,자격증,자격증 명,E
13,10,자격증,자격증 수준,E
13,10,자격증,자격증 최신성,E
