trainee,id,cat,subcat,text,grade,input_text,label
13,1,성장과정,가치관,따뜻한 시선 / 탐구심 / 자기성찰 / 성장 중심,C,[성장과정] [가치관] 따뜻한 시선 / 탐구심 / 자기성찰 / 성장 중심,2
13,1,성장과정,가족/환경의 영향,부모님,E,[성장과정] [가족/환경의 영향] 부모님,4
13,1,성장과정,전환점/특별한 경험,있음,E,[성장과정] [전환점/특별한 경험] 있음,4
13,1,성격의 장단점,장점 기술,"탐구심, 관찰력, 꾸준한 학습 자세",D,"[성격의 장단점] [장점 기술] 탐구심, 관찰력, 꾸준한 학습 자세",3
13,1,성격의 장단점,단점 기술 및 극복 노력,"거울 앞 연습, 소그룹 활동 참여, 소통 능력 향상 노력",C,"[성격의 장단점] [단점 기술 및 극복 노력] 거울 앞 연습, 소그룹 활동 참여, 소통 능력 향상 노력",2
13,1,성격의 장단점,대인관계 성향,"소극적이었으나 개선 중, 공감과 경청을 바탕으로 유연한 소통 지향",C,"[성격의 장단점] [대인관계 성향] 소극적이었으나 개선 중, 공감과 경청을 바탕으로 유연한 소통 지향",2
13,1,학창시절,학업 태도,"꾸준하고 성실함, 주어진 일에 책임감 있게 임함",C,"[학창시절] [학업 태도] 꾸준하고 성실함, 주어진 일에 책임감 있게 임함",2
13,1,학창시절,활동 참여,"소그룹 활동, 역사·신화 관련 관심 분야 외 활동 확장 중",C,"[학창시절] [활동 참여] 소그룹 활동, 역사·신화 관련 관심 분야 외 활동 확장 중",2
13,1,학창시절,성취 및 도전 경험,"감정 표현 개선을 위한 도전, 커뮤니케이션 개선 경험",C,"[학창시절] [성취 및 도전 경험] 감정 표현 개선을 위한 도전, 커뮤니케이션 개선 경험",2
13,1,지원동기,회사/직무 이해도,"도전과 성장의 기회로 인식, 조직 기여 의지 명확",C,"[지원동기] [회사/직무 이해도] 도전과 성장의 기회로 인식, 조직 기여 의지 명확",2
13,1,지원동기,지원 이유의 명확성,"배움과 성장을 위한 새로운 환경 경험 희망, 자기계발 중심",C,"[지원동기] [지원 이유의 명확성] 배움과 성장을 위한 새로운 환경 경험 희망, 자기계발 중심",2
13,1,지원동기,직무 적합성 강조,"탐구심, 성실성, 태도 등이 직무 수행에 긍정적으로 작용",C,"[지원동기] [직무 적합성 강조] 탐구심, 성실성, 태도 등이 직무 수행에 긍정적으로 작용",2
13,1,입사 후 포부,단기 목표,"빠른 적응, 표현력 향상, 실무 역량 강화",D,"[입사 후 포부] [단기 목표] 빠른 적응, 표현력 향상, 실무 역량 강화",3
13,1,입사 후 포부,장기 비전,배움의 자세 + 지속적 개선 의지,C,[입사 후 포부] [장기 비전] 배움의 자세 + 지속적 개선 의지,2
13,1,입사 후 포부,기여 방안,"팀 내 조화, 책임감 있는 업무 수행, 소통 능력 성장",C,"[입사 후 포부] [기여 방안] 팀 내 조화, 책임감 있는 업무 수행, 소통 능력 성장",2
13,1,직무 경험,직무 관련 능력,"관찰력, 분석력, 새로운 정보 흡수력 우수",C,"[직무 경험] [직무 관련 능력] 관찰력, 분석력, 새로운 정보 흡수력 우수",2
13,1,직무 경험,문제 해결력,자기 성찰 및 피드백 기반 문제 해결 접근 가능,C,[직무 경험] [문제 해결력] 자기 성찰 및 피드백 기반 문제 해결 접근 가능,2
13,2,성장과정,가치관,다양성과 탐구를 중시,D,[성장과정] [가치관] 다양성과 탐구를 중시,3
13,2,성장과정,가족/환경의 영향,가족의 지지와 격려,E,[성장과정] [가족/환경의 영향] 가족의 지지와 격려,4
13,2,성장과정,전환점/특별한 경험,다양한 분야에 도전하며 탐구심 형성,D,[성장과정] [전환점/특별한 경험] 다양한 분야에 도전하며 탐구심 형성,3
13,2,성격의 장단점,장점 기술,"컴퓨터 실무 능력, 유연한 사고, 배움에 대한 의지",C,"[성격의 장단점] [장점 기술] 컴퓨터 실무 능력, 유연한 사고, 배움에 대한 의지",2
13,2,성격의 장단점,단점 기술 및 극복 노력,"성당 활동, 피드백 수용, 표정 연습",D,"[성격의 장단점] [단점 기술 및 극복 노력] 성당 활동, 피드백 수용, 표정 연습",3
13,2,성격의 장단점,대인관계 성향,조용하나 공감력 있고 점진적 개선 중,D,[성격의 장단점] [대인관계 성향] 조용하나 공감력 있고 점진적 개선 중,3
13,2,학창시절,학업 태도,"책임감 있게 수행, 계획적 학습",D,"[학창시절] [학업 태도] 책임감 있게 수행, 계획적 학습",3
13,2,학창시절,활동 참여,"성당 행사, 악기 연주, 소그룹 활동",D,"[학창시절] [활동 참여] 성당 행사, 악기 연주, 소그룹 활동",3
13,2,학창시절,성취 및 도전 경험,감정 표현 개선 위한 소셜 활동 참여,D,[학창시절] [성취 및 도전 경험] 감정 표현 개선 위한 소셜 활동 참여,3
13,2,지원동기,회사/직무 이해도,새로운 직무에 대한 도전 의지 보유,D,[지원동기] [회사/직무 이해도] 새로운 직무에 대한 도전 의지 보유,3
13,2,지원동기,지원 이유의 명확성,"배움과 성장을 위한 발판, 실무 역량 개발",C,"[지원동기] [지원 이유의 명확성] 배움과 성장을 위한 발판, 실무 역량 개발",2
13,2,지원동기,직무 적합성 강조,"빠른 학습력, 실무 강점, 유연한 문제 해결 능력",C,"[지원동기] [직무 적합성 강조] 빠른 학습력, 실무 강점, 유연한 문제 해결 능력",2
13,2,입사 후 포부,단기 목표,"업무에 빠르게 적응, 성실한 자세 유지",D,"[입사 후 포부] [단기 목표] 업무에 빠르게 적응, 성실한 자세 유지",3
13,2,입사 후 포부,장기 비전,팀에 기여하는 유연한 인재로 성장,D,[입사 후 포부] [장기 비전] 팀에 기여하는 유연한 인재로 성장,3
13,2,입사 후 포부,기여 방안,"열린 소통, 꾸준한 자기 개발",D,"[입사 후 포부] [기여 방안] 열린 소통, 꾸준한 자기 개발",3
13,2,직무 경험,직무 관련 능력,"컴퓨터 실습, 악기 활용 프로젝트 등",D,"[직무 경험] [직무 관련 능력] 컴퓨터 실습, 악기 활용 프로젝트 등",3
13,2,직무 경험,문제 해결력,"기초 프로그램 활용, 일정 관리 능력",C,"[직무 경험] [문제 해결력] 기초 프로그램 활용, 일정 관리 능력",2
13,3,성장과정,가치관,"책임감, 성실함, 근면함",D,"[성장과정] [가치관] 책임감, 성실함, 근면함",3
13,3,성장과정,가족/환경의 영향,부모님의 교육과 생활 태도,D,[성장과정] [가족/환경의 영향] 부모님의 교육과 생활 태도,3
13,3,성장과정,전환점/특별한 경험,음식점 운영 경험 (30년 가족 사업 참여),C,[성장과정] [전환점/특별한 경험] 음식점 운영 경험 (30년 가족 사업 참여),2
13,3,성격의 장단점,장점 기술,"인내심, 탐구심, 책임감",D,"[성격의 장단점] [장점 기술] 인내심, 탐구심, 책임감",3
